               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034064,            0.040811,             0.06738,             0.81301,              0.2629,             0.31649,             0.17998,            0.036832,            0.028456,             0.06337,            0.006436,            0.006436,            0.006436
                  38,            0.034776,            0.041646,            0.064909,             0.69145,             0.29998,             0.36742,             0.22704,            0.035699,            0.028207,            0.060933,            0.006337,            0.006337,            0.006337
                  39,            0.034458,            0.041004,            0.062185,             0.88993,             0.25138,             0.36982,             0.21907,            0.036449,            0.027894,            0.060454,            0.006238,            0.006238,            0.006238
                  40,            0.034402,            0.039877,            0.061383,             0.69176,             0.31269,             0.38203,             0.22847,            0.035971,            0.028113,            0.058431,            0.006139,            0.006139,            0.006139
                  41,            0.034929,            0.040756,            0.061333,             0.79959,             0.29503,             0.39124,             0.23248,             0.03743,            0.028311,            0.057543,             0.00604,             0.00604,             0.00604
                  42,            0.034789,            0.041036,            0.059898,              0.7086,               0.329,             0.39501,             0.22979,             0.03798,            0.028346,            0.057454,            0.005941,            0.005941,            0.005941
                  43,            0.034969,            0.040614,            0.057392,             0.61688,             0.39315,             0.44422,             0.28392,            0.034693,            0.027413,            0.054781,            0.005842,            0.005842,            0.005842
                  44,             0.03414,            0.039515,            0.054572,             0.65285,             0.36673,             0.46422,             0.27558,            0.037471,            0.028188,            0.051152,            0.005743,            0.005743,            0.005743
                  45,            0.034775,            0.039204,            0.054803,             0.67932,              0.3929,             0.48216,             0.27927,            0.036868,            0.028606,            0.049724,            0.005644,            0.005644,            0.005644
                  46,            0.034633,            0.040353,            0.053503,             0.81075,             0.35734,             0.50843,             0.30526,            0.035916,            0.028617,            0.048645,            0.005545,            0.005545,            0.005545
                  47,            0.033912,            0.039408,            0.052401,             0.71411,             0.39973,             0.50498,             0.30518,            0.036477,            0.028275,            0.047224,            0.005446,            0.005446,            0.005446
                  48,            0.033863,            0.039525,            0.049474,             0.72779,              0.4415,             0.52929,             0.32465,            0.036153,            0.028787,            0.045799,            0.005347,            0.005347,            0.005347
                  49,            0.035192,            0.043022,            0.050229,             0.71413,             0.42623,             0.52665,              0.3231,            0.034917,            0.028667,            0.045514,            0.005248,            0.005248,            0.005248
                  50,            0.033853,            0.038221,             0.04832,             0.62352,             0.47961,             0.53891,             0.30096,            0.037392,            0.028299,            0.045297,            0.005149,            0.005149,            0.005149
                  51,            0.034107,            0.039866,             0.04719,             0.66378,             0.46971,             0.55624,             0.34751,            0.034902,            0.028524,            0.043785,             0.00505,             0.00505,             0.00505
                  52,             0.03482,            0.039206,            0.045992,             0.62637,             0.52114,             0.54966,             0.33346,            0.035956,             0.02839,            0.042509,            0.004951,            0.004951,            0.004951
                  53,             0.03377,            0.040244,            0.045415,             0.69182,             0.49288,             0.56298,              0.3365,            0.036028,            0.029449,            0.042559,            0.004852,            0.004852,            0.004852
                  54,            0.033712,            0.039835,            0.044263,             0.62668,              0.5318,             0.57937,             0.33731,            0.037315,            0.029208,            0.040332,            0.004753,            0.004753,            0.004753
                  55,            0.033848,            0.039081,            0.042595,             0.74474,             0.49764,             0.58123,             0.35491,            0.036002,            0.028524,            0.040586,            0.004654,            0.004654,            0.004654
                  56,            0.033465,            0.038961,            0.042641,             0.68146,               0.559,             0.61469,             0.36892,            0.036282,            0.029292,            0.038005,            0.004555,            0.004555,            0.004555
                  57,            0.032793,             0.04011,            0.041697,             0.73097,             0.53038,             0.61031,             0.36504,            0.036525,            0.028637,            0.038467,            0.004456,            0.004456,            0.004456
                  58,            0.032882,            0.037946,            0.040164,             0.69063,             0.52874,             0.60857,             0.34286,            0.037479,            0.029544,            0.037025,            0.004357,            0.004357,            0.004357
                  59,             0.03322,            0.038834,            0.039552,             0.63045,              0.5958,              0.6485,             0.39866,            0.035358,            0.029066,            0.036051,            0.004258,            0.004258,            0.004258
                  60,            0.032438,            0.037433,             0.03919,             0.66493,             0.57819,             0.62555,             0.37235,            0.035505,            0.028772,            0.036671,            0.004159,            0.004159,            0.004159
                  61,             0.03282,            0.038347,            0.037641,             0.70023,             0.56526,             0.65919,              0.4092,            0.035198,            0.029478,            0.035128,             0.00406,             0.00406,             0.00406
                  62,            0.032029,            0.037872,            0.037501,             0.74852,             0.55255,             0.65396,             0.39329,            0.036388,            0.029087,            0.033401,            0.003961,            0.003961,            0.003961
                  63,            0.032528,            0.038564,            0.035757,             0.72392,             0.60425,             0.67403,             0.42454,            0.034882,             0.02878,            0.034409,            0.003862,            0.003862,            0.003862
                  64,            0.032234,            0.037039,            0.036618,             0.70971,             0.59273,             0.65773,              0.3976,            0.035608,            0.029327,            0.035454,            0.003763,            0.003763,            0.003763
                  65,             0.03236,            0.038194,            0.035288,             0.63731,             0.60077,             0.65509,             0.40996,            0.034353,            0.029224,             0.03509,            0.003664,            0.003664,            0.003664
                  66,            0.031747,            0.037081,            0.035505,             0.70012,             0.61391,             0.67264,             0.42022,             0.03454,            0.029411,            0.032874,            0.003565,            0.003565,            0.003565
                  67,            0.031573,            0.036744,            0.034446,             0.75447,             0.56838,             0.66185,             0.39645,            0.035075,            0.029465,            0.033138,            0.003466,            0.003466,            0.003466
                  68,            0.031465,            0.037346,            0.033651,             0.82963,             0.57952,             0.68752,             0.43285,            0.034991,            0.029364,            0.032157,            0.003367,            0.003367,            0.003367
                  69,            0.031275,            0.035872,             0.03235,             0.77286,             0.58613,             0.68614,             0.42814,            0.034685,            0.029004,            0.032584,            0.003268,            0.003268,            0.003268
                  70,            0.031296,              0.0368,            0.031832,              0.7556,             0.60912,             0.69792,              0.4378,            0.034407,            0.028913,            0.030912,            0.003169,            0.003169,            0.003169
                  71,            0.030836,            0.035285,            0.031795,             0.74457,              0.6206,             0.69309,             0.43753,            0.035316,            0.029585,            0.031722,             0.00307,             0.00307,             0.00307
                  72,            0.030922,            0.036726,            0.031658,             0.77512,             0.61905,             0.70446,             0.44713,            0.034933,             0.02962,            0.031583,            0.002971,            0.002971,            0.002971
                  73,             0.03138,            0.038935,            0.030572,             0.78345,             0.61668,             0.70236,             0.44195,            0.034986,            0.029085,             0.03039,            0.002872,            0.002872,            0.002872
                  74,            0.030397,            0.035351,            0.030311,             0.79616,             0.61731,             0.70394,             0.43604,            0.035159,            0.029392,            0.029877,            0.002773,            0.002773,            0.002773
                  75,            0.030586,            0.038214,            0.029594,             0.78195,             0.62475,             0.70617,             0.42349,            0.035286,            0.029745,            0.028961,            0.002674,            0.002674,            0.002674
                  76,            0.030138,            0.035705,            0.029691,             0.79936,             0.63296,             0.71373,             0.44048,            0.034918,            0.029965,            0.027653,            0.002575,            0.002575,            0.002575
                  77,            0.029715,            0.036859,            0.029331,             0.78044,             0.64408,             0.70399,             0.44359,            0.034717,            0.029214,             0.02836,            0.002476,            0.002476,            0.002476
                  78,            0.029921,             0.03685,            0.029177,             0.79292,             0.62826,             0.71715,             0.45077,            0.034417,            0.029504,            0.028238,            0.002377,            0.002377,            0.002377
                  79,            0.029883,            0.036825,            0.028415,             0.79185,             0.61766,             0.70626,              0.4305,            0.035146,            0.029718,            0.028371,            0.002278,            0.002278,            0.002278
                  80,            0.029338,            0.035288,            0.027759,             0.82699,             0.63433,             0.73414,             0.46964,            0.033457,            0.029241,            0.027275,            0.002179,            0.002179,            0.002179
